,Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,number of countries
500,Australia,AUS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,17.9326,17.4258,16.919,16.9552,16.9914,17.0276,17.0638,17.1,16.7854,16.4708,16.1562,15.8416,15.527000000000001,14.966,14.405,13.844000000000001,,,240
515,Brazil,BRA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,81.9998,81.4734,80.947,78.9338,76.9206,74.9074,72.8942,70.881,70.3938,69.9066,69.4194,68.9322,68.445,67.8778,67.3106,66.7434,,,240
523,Canada,CAN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,16.6848,15.5434,14.402000000000001,14.3096,14.2172,14.1248,14.0324,13.94,13.4188,12.8976,12.3764,11.8552,11.334000000000001,10.7086,10.0832,9.4578,,,240
528,China,CHN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,8.7724,8.4602,8.148,8.0894,8.0308,7.9722,7.9136,7.855,7.7882,7.7214,7.6546,7.5878,7.521,7.4344,7.3478,7.2612,,,240
571,India,IND,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,66.8582,63.5316,60.205,57.0818,53.9586,50.8354,47.7122,44.589,41.75899999999999,38.929,36.099000000000004,33.269,30.439,28.0568,25.6746,23.2924,,,240
635,Russian Federation,RUS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,30.5882,29.1006,27.613000000000003,27.9486,28.2842,28.6198,28.9554,29.291,28.8178,28.3446,27.8714,27.3982,26.925,25.5276,24.1302,22.7328,,,240
674,United Kingdom,GBR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,28.0886,27.3458,26.603,26.4074,26.2118,26.0162,25.8206,25.625,24.1206,22.6162,21.1118,19.6074,18.102999999999998,16.7186,15.3342,13.9498,,,240
675,United States,USA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,46.4526,44.8268,43.201,42.4946,41.7882,41.0818,40.3754,39.669000000000004,37.7398,35.8106,33.8814,31.9522,30.023000000000003,27.0666,24.1102,21.1538,,,240
693,Euro area,EMU,Age dependency ratio (% of working-age population),SP.POP.DPND,48.62432716881688,48.7882904932265,48.98225392798293,49.19594012032604,49.40066367785735,49.576213501338884,49.854368897154544,50.0768956575586,50.29494299554443,50.573128853722345,50.948961996562,51.49092784430519,52.08983089775092,52.74572271933944,53.42438400827754,54.09215454488459,54.614515172956686,,240
740,Australia,AUS,Age dependency ratio (% of working-age population),SP.POP.DPND,49.726204219882156,49.42595736760912,49.15838156536688,48.92551224256129,48.72209567265504,48.569923136988194,48.22309739216893,47.95587437261573,47.834741399138345,47.87923092188628,48.068179611051825,48.63881193404702,49.194729693599555,49.77093500745279,50.39963064071681,51.085460798392326,51.86305286973457,,240
755,Brazil,BRA,Age dependency ratio (% of working-age population),SP.POP.DPND,54.286431188127395,53.44638593125273,52.571553768803035,51.69749644220024,50.85326754832593,50.04422762949017,49.18873140846675,48.407052245795676,47.675578675306504,46.96540554059197,46.27616053417261,45.66889656431222,45.118831270642346,44.62378195653613,44.18965758937939,43.82426324146083,43.644315792687046,,240
763,Canada,CAN,Age dependency ratio (% of working-age population),SP.POP.DPND,46.48238428611921,46.009013954986784,45.59015984696554,45.20544466325296,44.830606584258746,44.4863254460577,44.23332915297866,44.033543667380236,43.93386235861354,43.98147676387806,44.19611175263721,44.68164021490351,45.20453356961257,45.81078403636484,46.52175682004365,47.33100663241278,48.24391480278594,,240
768,China,CHN,Age dependency ratio (% of working-age population),SP.POP.DPND,46.065205945583656,44.79092288088005,43.09120173438159,41.19222248012244,39.46517378755763,38.09586159194084,37.17160612707277,36.441718180636116,35.94885650930125,35.67290246677176,35.59040540415744,35.67418334998606,35.943910810254714,36.385251671974785,36.96849343343564,37.668492150484376,38.54914605170796,,240
811,India,IND,Age dependency ratio (% of working-age population),SP.POP.DPND,64.29507073963444,63.56018744851984,62.75353140003193,61.900095461232176,61.02400650675893,60.13957375631102,59.42698797500944,58.69276373205208,57.933605793814614,57.12690460142869,56.262344696721414,55.512163930521744,54.66341110180542,53.77575351246002,52.9360971300418,52.19299716835969,51.522847111305865,,240
875,Russian Federation,RUS,Age dependency ratio (% of working-age population),SP.POP.DPND,44.272228522498025,43.66378563740878,43.04867778412189,42.395919093493795,41.66422893077132,40.82965120320511,40.31476378767776,39.6566243700811,39.07341393567297,38.77645788919458,38.845528936054635,39.291355633488045,40.111915430846594,41.18525501905643,42.34597561938929,43.515804645310105,45.10119152399131,,240
914,United Kingdom,GBR,Age dependency ratio (% of working-age population),SP.POP.DPND,53.67567300559792,53.32177396967822,52.88280385160616,52.40795961119546,51.95443173517149,51.571107299435965,51.4100634203681,51.329597511266044,51.35874032451413,51.51127437420612,51.79171760742274,52.52360111632983,53.26040979138374,54.015649460387536,54.78284843626421,55.53596761050763,56.174867722840865,,240
915,United States,USA,Age dependency ratio (% of working-age population),SP.POP.DPND,51.56246209762245,51.114023917041216,50.760060297903465,50.4381652341181,50.06968581183627,49.64296207332143,49.64427602200279,49.55116114644728,49.44742940332674,49.44175450302293,49.57588497523527,49.770099174936426,50.00983453309097,50.31967464177493,50.70772133330132,51.178901636439114,51.652348191571605,,240
933,Euro area,EMU,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,10.628074829172014,10.394042672783828,10.33469072321029,10.345174434482088,10.419775642251325,10.30304330240421,10.379982706289072,10.383227514033813,10.554178847691604,10.342715872086778,10.35784885035416,10.160523588178869,10.000114118191915,9.733930776618852,9.792297936162484,9.666823380155721,,,257
982,Australia,AUS,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,13.0,12.7,12.8,12.6,12.3,12.8,12.9,14.1,14.0,13.9,13.7,13.6,13.7,13.3,13.2,12.7,,,257
998,Brazil,BRA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,20.204,19.618,19.016,18.42,17.845,17.31,16.832,16.413,16.053,15.749,15.492,15.269,15.06,14.852,14.635,14.405,,,257
1006,Canada,CAN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,10.9,10.6,10.7,10.5,10.65,10.65,10.9,11.2,11.3,11.3,11.1,11.0,11.0,11.0,10.9,10.9,,,257
1012,China,CHN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,14.03,13.38,12.86,12.41,12.29,12.4,12.09,12.1,12.14,12.13,11.9,11.93,12.1,12.08,12.37,12.1,,,257
1058,India,IND,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,26.463,26.011999999999997,25.561,25.108,24.648000000000003,24.171,23.664,23.125999999999998,22.561999999999998,21.982,21.408,20.864,20.37,19.938,19.573,19.269000000000002,,,257
1128,Russian Federation,RUS,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,8.7,9.1,9.8,10.2,10.4,10.2,10.4,11.3,12.0,12.3,12.5,12.6,13.3,13.2,13.3,13.3,,,257
1171,United Kingdom,GBR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.5,11.3,11.3,11.7,11.9,12.0,12.3,12.6,12.9,12.7,12.9,12.8,12.8,12.1,12.0,11.9,,,257
1172,United States,USA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,14.4,14.1,14.0,14.1,14.0,14.0,14.3,14.3,14.0,13.5,13.0,12.7,12.6,12.4,12.5,12.4,,,257
1190,Euro area,EMU,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,99.34700051273336,,,,,,,,,,,,,98.83492942516287,,,,,242
1238,Australia,AUS,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,99.3,99.3,99.3,99.3,99.3,99.4,99.3,99.2,99.1,99.1,99.1,99.1,,99.3,,,,,242
1252,Brazil,BRA,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,98.6,98.3,98.5,98.4,98.6,98.6,97.0,98.6,98.8,98.9,98.9,99.0,99.0,99.1,,,,,242
1261,Canada,CAN,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,99.3,99.3,99.3,98.9,99.0,98.8,98.8,98.8,98.7,98.6,98.5,99.9,,,,,,,242
1266,China,CHN,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,96.6,97.3,96.7,95.9,97.3,97.5,97.8,98.4,99.1,99.3,99.6,99.7,99.8,99.9,99.9,,,,242
1307,India,IND,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,42.5,,,,,,46.6,,52.3,,,,,,81.4,,,,242
1374,Russian Federation,RUS,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,99.2,99.3,99.3,99.4,99.4,99.4,99.5,99.6,99.6,99.7,99.7,98.7,99.7,99.7,99.7,,,,242
1414,United States,USA,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,99.4,99.4,99.5,99.3,99.3,99.4,99.4,99.3,99.3,99.3,99.4,99.3,99.3,99.2,98.5,,,,242
1432,Euro area,EMU,"Cause of death, by communicable diseases, ages 15-34, female (% of relevant age group)",SH.DTH.COMM.1534.FE.ZS,7.732022382620813,,,,,7.215599561671065,,,,,6.621732062922057,,,,,6.170067288395545,,,229
1478,Australia,AUS,"Cause of death, by communicable diseases, ages 15-34, female (% of relevant age group)",SH.DTH.COMM.1534.FE.ZS,4.08787579485628,,,,,4.25172959896135,,,,,5.29074346539551,,,,,4.0921548339015,,,229
1493,Brazil,BRA,"Cause of death, by communicable diseases, ages 15-34, female (% of relevant age group)",SH.DTH.COMM.1534.FE.ZS,25.8369504962057,,,,,23.153637311855196,,,,,21.1353421085652,,,,,17.175550899358598,,,229
1501,Canada,CAN,"Cause of death, by communicable diseases, ages 15-34, female (% of relevant age group)",SH.DTH.COMM.1534.FE.ZS,6.00399765482648,,,,,5.5986071082465605,,,,,5.684554290307941,,,,,5.19617480420689,,,229
1505,China,CHN,"Cause of death, by communicable diseases, ages 15-34, female (% of relevant age group)",SH.DTH.COMM.1534.FE.ZS,13.785560037942501,,,,,13.2222808847841,,,,,11.383540696026099,,,,,9.799438675586641,,,229
1544,India,IND,"Cause of death, by communicable diseases, ages 15-34, female (% of relevant age group)",SH.DTH.COMM.1534.FE.ZS,42.3238811663678,,,,,41.590927972870105,,,,,36.2142573650004,,,,,32.0331744460165,,,229
1605,Russian Federation,RUS,"Cause of death, by communicable diseases, ages 15-34, female (% of relevant age group)",SH.DTH.COMM.1534.FE.ZS,12.543070588048801,,,,,16.0767309860701,,,,,20.777890999059302,,,,,29.478320145953198,,,229
1644,United Kingdom,GBR,"Cause of death, by communicable diseases, ages 15-34, female (% of relevant age group)",SH.DTH.COMM.1534.FE.ZS,8.63660908484897,,,,,7.651363957378599,,,,,7.55705608150396,,,,,5.85817355711602,,,229
1645,United States,USA,"Cause of death, by communicable diseases, ages 15-34, female (% of relevant age group)",SH.DTH.COMM.1534.FE.ZS,9.858792891626141,,,,,7.98280365928992,,,,,6.828027471795321,,,,,5.89068382499318,,,229
1661,Euro area,EMU,"Cause of death, by communicable diseases, ages 15-34, male (% of relevant age group)",SH.DTH.COMM.1534.MA.ZS,5.8143230962173655,,,,,4.450428395715933,,,,,3.716444845856514,,,,,3.5727066389771083,,,229
1707,Australia,AUS,"Cause of death, by communicable diseases, ages 15-34, male (% of relevant age group)",SH.DTH.COMM.1534.MA.ZS,2.13661533620004,,,,,1.84563807822104,,,,,1.67014691887935,,,,,1.44919318022582,,,229
1722,Brazil,BRA,"Cause of death, by communicable diseases, ages 15-34, male (% of relevant age group)",SH.DTH.COMM.1534.MA.ZS,11.0369364847042,,,,,8.62178257876359,,,,,7.89342164332844,,,,,6.99289172914721,,,229
1730,Canada,CAN,"Cause of death, by communicable diseases, ages 15-34, male (% of relevant age group)",SH.DTH.COMM.1534.MA.ZS,3.20293758258592,,,,,2.2993642567143904,,,,,1.7870651481088602,,,,,2.12230687029203,,,229
1734,China,CHN,"Cause of death, by communicable diseases, ages 15-34, male (% of relevant age group)",SH.DTH.COMM.1534.MA.ZS,8.12666555568706,,,,,7.243377667455371,,,,,5.64697625917186,,,,,4.606307692715769,,,229
1773,India,IND,"Cause of death, by communicable diseases, ages 15-34, male (% of relevant age group)",SH.DTH.COMM.1534.MA.ZS,26.9696981906562,,,,,28.097235922164696,,,,,23.659986945769802,,,,,20.2675042136,,,229
1834,Russian Federation,RUS,"Cause of death, by communicable diseases, ages 15-34, male (% of relevant age group)",SH.DTH.COMM.1534.MA.ZS,8.63819259424691,,,,,11.0333815643453,,,,,14.177265556504901,,,,,21.5346301909434,,,229
1873,United Kingdom,GBR,"Cause of death, by communicable diseases, ages 15-34, male (% of relevant age group)",SH.DTH.COMM.1534.MA.ZS,4.18257537271365,,,,,3.0662514663453995,,,,,2.85574091863739,,,,,2.5387003290624,,,229
1874,United States,USA,"Cause of death, by communicable diseases, ages 15-34, male (% of relevant age group)",SH.DTH.COMM.1534.MA.ZS,5.549146460994481,,,,,3.48709916851606,,,,,2.9334405291264503,,,,,2.65234656313596,,,229
1890,Euro area,EMU,"Cause of death, by communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.COMM.3559.FE.ZS,3.2338664341236716,,,,,3.279785719405348,,,,,3.1087941421651712,,,,,3.1960889657504614,,,229
1936,Australia,AUS,"Cause of death, by communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.COMM.3559.FE.ZS,2.12528902236446,,,,,2.4423987720075098,,,,,2.71871311148173,,,,,3.0509235473136003,,,229
1951,Brazil,BRA,"Cause of death, by communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.COMM.3559.FE.ZS,10.3256398029994,,,,,10.607189334096802,,,,,10.6329622735189,,,,,10.6533884333011,,,229
1959,Canada,CAN,"Cause of death, by communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.COMM.3559.FE.ZS,3.0647197022711,,,,,3.28899733999578,,,,,3.25290146405023,,,,,3.4622412659143595,,,229
1963,China,CHN,"Cause of death, by communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.COMM.3559.FE.ZS,5.98376855103727,,,,,5.2419901083372,,,,,4.76822005265436,,,,,3.74899540524715,,,229
2002,India,IND,"Cause of death, by communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.COMM.3559.FE.ZS,26.741131343653603,,,,,25.9345392041784,,,,,21.982878585100103,,,,,18.9539243859941,,,229
2063,Russian Federation,RUS,"Cause of death, by communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.COMM.3559.FE.ZS,6.51373664127146,,,,,8.13953905970698,,,,,7.963657401190019,,,,,10.2587163682169,,,229
2102,United Kingdom,GBR,"Cause of death, by communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.COMM.3559.FE.ZS,4.81554761648308,,,,,3.4522667510750096,,,,,3.9037930235940497,,,,,3.48166574243216,,,229
2103,United States,USA,"Cause of death, by communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.COMM.3559.FE.ZS,5.64429983730878,,,,,5.8573929491930405,,,,,5.09496734070196,,,,,5.13249228469279,,,229
2119,Euro area,EMU,"Cause of death, by communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.COMM.3559.MA.ZS,4.223437769670033,,,,,4.1801526957008335,,,,,3.778449046551658,,,,,3.7452120452621562,,,229
2165,Australia,AUS,"Cause of death, by communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.COMM.3559.MA.ZS,3.1503730383647994,,,,,3.05775394045193,,,,,3.08752384400208,,,,,3.0378185680733596,,,229
2180,Brazil,BRA,"Cause of death, by communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.COMM.3559.MA.ZS,11.753798791078,,,,,11.0609481872097,,,,,11.297206853408198,,,,,11.1519535222629,,,229
2188,Canada,CAN,"Cause of death, by communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.COMM.3559.MA.ZS,4.40368486471407,,,,,4.10352238960847,,,,,3.24319904838032,,,,,3.5944662577775497,,,229
2192,China,CHN,"Cause of death, by communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.COMM.3559.MA.ZS,6.609714303438821,,,,,5.92518557108179,,,,,5.3530032001221395,,,,,4.1106435365250595,,,229
2231,India,IND,"Cause of death, by communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.COMM.3559.MA.ZS,25.2191221800668,,,,,25.028794529266897,,,,,21.0568212364662,,,,,18.248125685760602,,,229
2292,Russian Federation,RUS,"Cause of death, by communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.COMM.3559.MA.ZS,10.1806757729277,,,,,10.9705640954557,,,,,10.350563147991698,,,,,13.593099110279802,,,229
2331,United Kingdom,GBR,"Cause of death, by communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.COMM.3559.MA.ZS,4.79858944055098,,,,,3.48638618198223,,,,,3.4770071626201298,,,,,3.2639134968795602,,,229
2332,United States,USA,"Cause of death, by communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.COMM.3559.MA.ZS,7.036649694769389,,,,,6.52165693628331,,,,,4.84048351406721,,,,,4.43649875916918,,,229
2348,Euro area,EMU,"Cause of death, by injury, ages 15-34, female  (% of relevant age group)",SH.DTH.INJR.1534.FE.ZS,40.84128818324613,,,,,38.3002942591664,,,,,35.384505336527674,,,,,34.054421089798886,,,229
2394,Australia,AUS,"Cause of death, by injury, ages 15-34, female  (% of relevant age group)",SH.DTH.INJR.1534.FE.ZS,44.203005132866004,,,,,43.410589271811894,,,,,42.9851047415271,,,,,41.798111534213,,,229
2409,Brazil,BRA,"Cause of death, by injury, ages 15-34, female  (% of relevant age group)",SH.DTH.INJR.1534.FE.ZS,26.4999964037772,,,,,28.907279153389602,,,,,30.966414461816395,,,,,34.6757374448669,,,229
2417,Canada,CAN,"Cause of death, by injury, ages 15-34, female  (% of relevant age group)",SH.DTH.INJR.1534.FE.ZS,43.26802521687839,,,,,46.310630638801,,,,,45.3063028537881,,,,,42.8071649122071,,,229
2421,China,CHN,"Cause of death, by injury, ages 15-34, female  (% of relevant age group)",SH.DTH.INJR.1534.FE.ZS,38.8047599872137,,,,,38.85551846135,,,,,39.637316681533896,,,,,38.9093550553063,,,229
2460,India,IND,"Cause of death, by injury, ages 15-34, female  (% of relevant age group)",SH.DTH.INJR.1534.FE.ZS,30.7241802097987,,,,,31.0222279157309,,,,,33.6145378291074,,,,,35.510499409004396,,,229
2521,Russian Federation,RUS,"Cause of death, by injury, ages 15-34, female  (% of relevant age group)",SH.DTH.INJR.1534.FE.ZS,49.83196259186379,,,,,44.4857313250429,,,,,38.0439884589557,,,,,28.2567882224205,,,229
2560,United Kingdom,GBR,"Cause of death, by injury, ages 15-34, female  (% of relevant age group)",SH.DTH.INJR.1534.FE.ZS,29.946514748460196,,,,,31.468353049204396,,,,,27.760475940796,,,,,25.8348624238005,,,229
2561,United States,USA,"Cause of death, by injury, ages 15-34, female  (% of relevant age group)",SH.DTH.INJR.1534.FE.ZS,42.2252144741861,,,,,43.1724513864462,,,,,40.0906197680655,,,,,38.3469186664591,,,229
2577,Euro area,EMU,"Cause of death, by injury, ages 15-34, male (% of relevant age group)",SH.DTH.INJR.1534.MA.ZS,59.761429915753965,,,,,58.13108839100753,,,,,53.845685292385255,,,,,50.82157477783747,,,229
2623,Australia,AUS,"Cause of death, by injury, ages 15-34, male (% of relevant age group)",SH.DTH.INJR.1534.MA.ZS,61.4901277828236,,,,,61.89898608867951,,,,,59.469343673056,,,,,56.216254389937,,,229
2638,Brazil,BRA,"Cause of death, by injury, ages 15-34, male (% of relevant age group)",SH.DTH.INJR.1534.MA.ZS,65.1081399939648,,,,,68.6135316005076,,,,,70.6262861924762,,,,,73.0895703335257,,,229
2646,Canada,CAN,"Cause of death, by injury, ages 15-34, male (% of relevant age group)",SH.DTH.INJR.1534.MA.ZS,65.6234481051099,,,,,65.737233951591,,,,,63.3270722543812,,,,,59.3857690257088,,,229
2650,China,CHN,"Cause of death, by injury, ages 15-34, male (% of relevant age group)",SH.DTH.INJR.1534.MA.ZS,55.217615805752295,,,,,58.8802633304453,,,,,60.756608298877794,,,,,58.5365972257881,,,229
2689,India,IND,"Cause of death, by injury, ages 15-34, male (% of relevant age group)",SH.DTH.INJR.1534.MA.ZS,42.4803288450921,,,,,42.557858709585794,,,,,45.73071239584001,,,,,48.0546558122177,,,229
2750,Russian Federation,RUS,"Cause of death, by injury, ages 15-34, male (% of relevant age group)",SH.DTH.INJR.1534.MA.ZS,63.3574355975162,,,,,57.59737453822039,,,,,53.0739183739174,,,,,44.5284707169065,,,229
2789,United Kingdom,GBR,"Cause of death, by injury, ages 15-34, male (% of relevant age group)",SH.DTH.INJR.1534.MA.ZS,53.942051625972994,,,,,52.211554192715305,,,,,46.332517708801795,,,,,43.5220779227577,,,229
2790,United States,USA,"Cause of death, by injury, ages 15-34, male (% of relevant age group)",SH.DTH.INJR.1534.MA.ZS,65.5527015571754,,,,,64.89315415966159,,,,,59.769244153787795,,,,,57.027977737728996,,,229
2806,Euro area,EMU,"Cause of death, by injury, ages 35-59, female (% of relevant age group)",SH.DTH.INJR.3559.FE.ZS,9.579260374906431,,,,,9.049250952328407,,,,,8.418052537527938,,,,,7.781575937980933,,,229
2852,Australia,AUS,"Cause of death, by injury, ages 35-59, female (% of relevant age group)",SH.DTH.INJR.3559.FE.ZS,9.18717953760568,,,,,9.72382788452342,,,,,9.927556591427859,,,,,9.9240874884922,,,229
2867,Brazil,BRA,"Cause of death, by injury, ages 35-59, female (% of relevant age group)",SH.DTH.INJR.3559.FE.ZS,5.7884840764344,,,,,6.02641578741334,,,,,6.60009462616708,,,,,7.636503545113519,,,229
2875,Canada,CAN,"Cause of death, by injury, ages 35-59, female (% of relevant age group)",SH.DTH.INJR.3559.FE.ZS,9.1986593532629,,,,,9.814586965838501,,,,,9.94222973889992,,,,,9.498190142001231,,,229
2879,China,CHN,"Cause of death, by injury, ages 35-59, female (% of relevant age group)",SH.DTH.INJR.3559.FE.ZS,12.642577290687301,,,,,12.6183802470586,,,,,13.145387346900302,,,,,13.2554248109482,,,229
2918,India,IND,"Cause of death, by injury, ages 35-59, female (% of relevant age group)",SH.DTH.INJR.3559.FE.ZS,9.187253402157369,,,,,9.3175967787334,,,,,9.9471456771758,,,,,10.5522791731985,,,229
2979,Russian Federation,RUS,"Cause of death, by injury, ages 35-59, female (% of relevant age group)",SH.DTH.INJR.3559.FE.ZS,19.6988244002918,,,,,17.0025315128718,,,,,14.2017019513955,,,,,11.7648393189371,,,229
